REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA00079277	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Villiers-en-Lieu	Champagne-Ardenne	52	Villiers-en-Lieu	52534	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 30 octobre 1925	1925/10/30 : inscrit MH			
PA00079276	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Villegusien-le-Lac	Champagne-Ardenne	52	Villegusien-le-Lac	52529	Croix du 17s située dans le cimetière		Propriété de la commune		Croix du 17s : inscription par arrêté du 16 juin 1926	1926/06/16 : inscrit MH		17e siècle	
PA00079275	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Villegusien-le-Lac	Champagne-Ardenne	52	Villegusien-le-Lac	52529	Croix 16s située à l'entrée nord-est du village de Vesvres-sous-Prangey		Propriété de la commune		Croix 16s : inscription par arrêté du 16 juin 1926	1926/06/16 : inscrit MH		16e siècle	
PA00079274	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Villegusien-le-Lac	Champagne-Ardenne	52	Villegusien-le-Lac	52529	Château de Prangey		Propriété d'une personne privée		Façades et toitures de l'ensemble du château (corps de logis principal, ailes est et sud, tours) ; douves et deux ponts qui les franchissent ; grille en fer forgé du fossé ouest ; portail d'entrée ; grand escalier du corps de logis principal avec sarampe en fer forgé (cad. C 402) : inscription par arrêté du 12 janvier 1987	1987/01/12 : inscrit MH		16e siècle ; 17e siècle ; 1er quart 20e siècle	
PA00079273	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Villegusien-le-Lac	Champagne-Ardenne	52	Villegusien-le-Lac	52529	Château de Piepape		Propriété d'une personne privée		Façades et toitures ; escalier conduisant au sous-sol ; salle à manger en sous-sol ; grand salon du rez-de-chaussée ; trois chambres à coucher à alcôves situées à l'étage et donnant sur le côté parc ; chambre à coucher du R-de-C. (cad. AB 53) : inscription par arrêté du 25 octobre 1971	1971/10/25 : inscrit MH		3e quart 18e siècle	
PA00079272	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Villars-Santenoge	Champagne-Ardenne	52	Villars-Santenoge	52526	Ferme à l'ouest de l'église de Villars-Montroyer		Propriété d'une personne privée		Cheminée du 15s au premier étage : inscription par arrêté du 26 octobre 1925	1925/10/26 : inscrit MH			
PA00079271	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Villars-Santenoge	Champagne-Ardenne	52	Villars-Santenoge	52526	Eglise de Villars-Montroyer		Propriété de la commune		Eglise de Villars-Montroyer : inscription par arrêté du 30 octobre 1925	1925/10/30 : inscrit MH		13e siècle	
PA00079270	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Villars-Santenoge	Champagne-Ardenne	52	Villars-Santenoge	52526	Eglise de Santenoge		Propriété de la commune		Choeur : inscription par arrêté du 7 décembre 1925	1925/12/07 : inscrit MH			
PA00079269	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Villars-en-Azois	Champagne-Ardenne	52	Villars-en-Azois	52525	Château de Villars-en-Azois		Propriété d'une société privée		Façades et toitures ; cheminée du salon du rez-de-chaussée, à l'angle nord-ouest avec son trumeau ; tour 16s en totalité (cheminée comprise) (cad. C 180) : inscription par arrêté du 26 août 1988	1988/08/26 : inscrit MH		16e siècle ; 18e siècle	
PA00079268	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vignory	Champagne-Ardenne	52	Vignory	52524	Eglise		Propriété de la commune		Eglise : classement par liste de 1846	1846 : classé MH			
PA00079267	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vignory	Champagne-Ardenne	52	Vignory	52524	Croix de cimetière		Propriété de la commune		Croix de cimetière en pierre du 16s : classement par arrêté du 26 septembre 1903	1903/09/26 : classé MH		16e siècle	
PA00079266	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vignory	Champagne-Ardenne	52	Vignory	52524	Ancien château fort		propriété de la commune		Le donjon ; la tour ronde à l'est dite "Tour du Puits" ; les courtines subsistantes (cad. AC 14 à 16, 43) : classement par arrêté du 2 octobre 1989	1989/10/02 : classé MH		12e siècle ; 16e siècle	
PA00079265	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vesvres-sous-Chalancey	Champagne-Ardenne	52	Vesvres-sous-Chalancey	52519	Croix situées dans le cimetière respectivement devant la façade et au chevet de l'église		Propriété de la commune		Deux croix (cad. B 355) : inscription par arrêté du 29 mars 1972	1972/03/29 : inscrit MH		16e siècle	
PA00079264	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vesvres-sous-Chalancey	Champagne-Ardenne	52	Vesvres-sous-Chalancey	52519	Croix située en bordure du CD 296		Propriété de la commune		Croix (cad. B 65) : classement par arrêté du 11 juillet 1973	1973/07/11 : classé MH		18e siècle	
PA00079263	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Verseilles-le-Haut	Champagne-Ardenne	52	Verseilles-le-Haut	52516	Croix du 15s située dans le cimetière		Propriété de la commune		Croix du 15s : inscription par arrêté du 3 novembre 1925	1925/11/03 : inscrit MH		15e siècle	
PA00079262	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Verseilles-le-Haut	Champagne-Ardenne	52	Verseilles-le-Haut	52516	Croix en pierre du «point de vue»		Propriété de la commune		Croix en pierre : inscription par arrêté du 21 octobre 1925	1925/10/21 : inscrit MH		17e siècle	
