REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA00078615	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Châlons-en-Champagne	Champagne-Ardenne	51	Châlons-en-Champagne	51108	Couvent de Vinetz (ancien)	Vinetz (rue de) 2	Propriété du département		Façades et toitures du bâtiment sur rue et de l'aile perpendiculaire sur cour ainsi que la chapelle (cad. AZ 476) : inscription par arrêté du 6 septembre 1978	1978/09/06 : inscrit MH		17e siècle	
PA00078614	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Châlons-en-Champagne	Champagne-Ardenne	51	Châlons-en-Champagne	51108	Couvent des Dames de la Congrégation	Grande-Etape (rue)			Façades et toitures du bâtiment à rez-de-chaussée constituant l'entrée du couvent : inscription par arrêté du 10 mai 1938	1938/05/10 : inscrit MH			
PA00078613	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Châlons-en-Champagne	Champagne-Ardenne	51	Châlons-en-Champagne	51108	Couvent des Cordeliers (ancien)	Cordeliers (rue des)	Propriété d'une personne privée		Porte monumentale sur rue : inscription par arrêté du 12 avril 1934	1934/04/12 : inscrit MH		17e siècle	
PA00078612	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Châlons-en-Champagne	Champagne-Ardenne	51	Châlons-en-Champagne	51108	Cirque	Général-Leclerc (avenue) 1ter	Propriété de la commune		Bâtiment du cirque et ancienne buvette contigüe avec son décor (cad. BH 187, 200) : inscription par arrêté du 8 octobre 1984	1984/10/08 : inscrit MH	Gillet (maître de l'oeuvre)	4e quart 19e siècle	
PA00078611	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Châlons-en-Champagne	Champagne-Ardenne	51	Châlons-en-Champagne	51108	Château Jaquesson	Paris (avenue) 116	Propriété d'une société privée		Château Jaquesson (cad. CE 159) : inscription par arrêté du 13 novembre 1980	1980/11/13 : inscrit MH	Viollet-le-Duc Eugène Emmanuel (architecte)	3e quart 19e siècle	
PA00078610	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Châlons-en-Champagne	Champagne-Ardenne	51	Châlons-en-Champagne	51108	Cathédrale Saint-Etienne		propriété de l'Etat	affecté au clergé	Cathédrale Saint-Etienne : classement par liste de 1862	1862 : classé MH		13e siècle ; 16e siècle ; 17e siècle ; 18e siècle	
PA00078609	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Châlons-en-Champagne	Champagne-Ardenne	51	Châlons-en-Champagne	51108	Hôtel Dubois de Crancé (ancien)	Orfeuil (rue d')	Propriété de la commune		Hôtel, sauf parties classées : inscription par arrêté du 2 août 1932 ; Façades sur rue et sur cour (y compris l'ancien portail de l'église Saint-Loup remonté dans la cour) et toitures : classement par arrêté du 11 septembre 1941	1932/08/02 : inscrit MH ; 1941/09/11 : classé MH			
PA00078608	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Châlons-en-Champagne	Champagne-Ardenne	51	Châlons-en-Champagne	51108	Bastion d'Aumale	Quartier Tirlet	Propriété de l'Etat	Affecté au ministère chargé de la défense	Bastion d'Aumale : inscription par arrêté du 24 octobre 1929	1929/10/24 : inscrit MH		16e siècle	
PA00078607	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Cernay-lès-Reims	Champagne-Ardenne	51	Cernay-lès-Reims	51105	Eglise		Propriété de la commune		Eglise : classement par arrêté du 25 octobre 1911	1911/10/25 : classé MH		12e siècle ; 13e siècle ; 14e siècle ; 15e siècle	
PA00078606	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Cauroy-lès-Hermonville	Champagne-Ardenne	51	Cauroy-lès-Hermonville	51102	Eglise		Propriété de la commune		Eglise : classement par liste de 1862	1862 : classé MH			
PA00078605	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Caurel	Champagne-Ardenne	51	Caurel	51101	Eglise		Propriété de la commune		Eglise : classement par arrêté du 18 juin 1921	1921/06/18 : classé MH		12e siècle ; 13e siècle ; 14e siècle	
PA00078604	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bussy-Lettrée	Champagne-Ardenne	51	Bussy-Lettrée	51099	Eglise Saint-Etienne		propriété de la commune		Eglise : classement par arrêté du 5 janvier 1949	1949/01/05 : classé MH		12e siècle ; 14e siècle ; 16e siècle	
PA00078603	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bussy-le-Château	Champagne-Ardenne	51	Bussy-le-Château	51097	Tumulus		Propriété du département		Tumulus (cad. D 113, 114) : classement par arrêté du 25 juillet 1930	1930/07/25 : classé MH			
PA00078602	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bussy-le-Château	Champagne-Ardenne	51	Bussy-le-Château	51097	Tumulus		Propriété d'une personne privée		Tumulus (cad. D6 81) : classement par arrêté du 13 mars 1930	1930/03/13 : classé MH			
PA00078601	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Broussy-le-Grand	Champagne-Ardenne	51	Broussy-le-Grand	51090	Eglise		Propriété de la commune		Eglise : classement par arrêté du 10 décembre 1919	1919/12/10 : classé MH		11e siècle ; 14e siècle	
PA00078600	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Breuil	Champagne-Ardenne	51	Breuil	51086	Eglise		Propriété de la commune		Eglise : classement par arrêté du 1er mai 1923	1923/05/01 : classé MH		12e siècle	
PA00078599	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Le Breuil	Champagne-Ardenne	51	Breuil (Le)	51085	Eglise		Propriété de la commune		Eglise (cad. AN 62) : inscription par arrêté du 10 janvier 1986	1986/01/10 : inscrit MH		12e siècle ; 13e siècle ; 16e siècle	
PA00078598	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bréban	Champagne-Ardenne	51	Bréban	51084	Eglise	Au centre de la Commune	Propriété de la commune		Eglise : inscription par arrêté du 20 décembre 1928	1928/12/20 : inscrit MH		12e siècle ; 14e siècle ; 15e siècle ; 17e siècle	
PA00078597	recensement immeubles MH	Champagne-Ardenne ; Marne ; Braux-Sainte-Cohière	Champagne-Ardenne	51	Braux-Sainte-Cohière	51082	Château de Braux		propriété privée		Les façades et toitures du château et des communs, y compris le portail d'entrée ; l'escalier intérieur avec sa rampe en bois ; le pigonnier et les douves avec leurs ponts (cad. AB 74, 77) : classement par arrêté du 12 octobre 1972	1972/10/12 : classé MH			
PA00078596	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bourgogne	Champagne-Ardenne	51	Bourgogne	51075	Eglise		Propriété de la commune		Eglise : classement par arrêté du 18 avril 1921	1921/04/18 : classé MH		12e siècle ; 13e siècle ; 15e siècle ; 16e siècle	
PA00078595	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Boult-sur-Suippe	Champagne-Ardenne	51	Boult-sur-Suippe	51074	Eglise		Propriété de la commune		Eglise : classement par arrêté du 30 juillet 1920	1920/07/30 : classé MH		12e siècle ; 13e siècle	
PA00078594	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Blesme	Champagne-Ardenne	51	Blesme	51068	Eglise		Propriété de la commune		Eglise : classement par arrêté du 15 janvier 1916	1916/01/15 : classé MH		12e siècle	
PA00078593	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bisseuil	Champagne-Ardenne	51	Bisseuil	51064	Eglise		Propriété de la commune		Eglise : classement par arrêté du 10 janvier 1924	1924/01/10 : classé MH		13e siècle ; 14e siècle ; 15e siècle	
PA00078592	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bezannes	Champagne-Ardenne	51	Bezannes	51058	Eglise		Propriété de la commune		Eglise : classement par arrêté du 10 décembre 1912	1912/12/10 : classé MH		12e siècle	
PA00078591	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bethon	Champagne-Ardenne	51	Bethon	51056	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 24 octobre 1927	1927/10/24 : inscrit MH		15e siècle ; 16e siècle ; 18e siècle	
PA00078590	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bétheny	Champagne-Ardenne	51	Bétheny	51055	Eglise (ruines)				Eglise (ruines) : classement par arrêté du 5 août 1920	1920/08/05 : classé MH		13e siècle	
PA00078589	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Berru	Champagne-Ardenne	51	Berru	51052	Eglise		Propriété de la commune		Eglise : classement par arrêté du 22 juillet 1921	1921/07/22 : classé MH		12e siècle ; 13e siècle	
PA00078588	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bergères-sous-Montmirail	Champagne-Ardenne	51	Bergères-sous-Montmirail	51050	Château		Propriété d'une personne privée		Les cinq pièces lambrissées du rez-de-chaussée numérotées de 1 à 5 sur le plan joint au dossier ; façades et toitures des quatre bâtiments des communs ; partie ordonnancée du parc avec sa pièce d'eau (cad. AD 43 à 46) : inscription par arrêté du 29 décembre 1982 ; Grille d'entrée ; façades et toitures du château ; hall d'entrée, cage d'escalier avec sa rampe en fer forgé (cad. AD 44) : classement par arrêté du 29 décembre 1982	1982/12/29 : inscrit MH ; 1982/12/29 : classé MH		17e siècle	
PA00078587	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Beine-Nauroy	Champagne-Ardenne	51	Beine-Nauroy	51046	Eglise		Propriété de la commune		Eglise : classement par arrêté du 15 mars 1921	1921/03/15 : classé MH		12e siècle ; 13e siècle	
PA00078586	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Beaunay	Champagne-Ardenne	51	Beaunay	51045	Eglise		Propriété de la commune		Eglise (cad. AB 115) : classement par arrêté du 3 août 1976	1976/08/03 : classé MH			
PA00078585	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Bazancourt	Champagne-Ardenne	51	Bazancourt	51043	Eglise Saint-Rémy		Propriété de la commune		Choeur et clocher : classement par arrêté du 27 mars 1914	1914/03/27 : classé MH		12e siècle ; 13e siècle ; 16e siècle ; 18e siècle	
PA00078584	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Baye	Champagne-Ardenne	51	Baye	51042	Eglise Saint-Pierre-et-Saint-Paul		Propriété de la commune		Eglise (cad. D 392) : classement par arrêté du 14 mars 1986	1986/03/14 : classé MH		12e siècle ; 13e siècle ; 16e siècle	
PA00078583	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Baye	Champagne-Ardenne	51	Baye	51042	Château		Propriété d'une personne privée		Chapelle : classement par arrêté du 22 mars 1923	1923/03/22 : classé MH		1ère moitié 18e siècle	
PA00078582	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Baudement	Champagne-Ardenne	51	Baudement	51041	Tumulus		Propriété d'une personne privée		Tumulus : classement par arrêté du 19 novembre 1934	1934/11/19 : classé MH		Moyen Age	
PA00078581	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Barbonne-Fayel	Champagne-Ardenne	51	Barbonne-Fayel	51036	Dolmen sous tumulus		Propriété d'une personne privée		Dolmen sous tumulus : classement par arrêté du 17 mai 1921	1921/05/17 : classé MH		Néolithique récent ; Chalcolithique	
PA00078580	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Baconnes	Champagne-Ardenne	51	Baconnes	51031	Eglise		Propriété de la commune		Eglise : classement par arrêté du 20 décembre 1920	1920/12/20 : classé MH		12e siècle ; 17e siècle	
PA00078579	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Ay	Champagne-Ardenne	51	Ay	51030	Eglise		Propriété de la commune		Eglise : classement par arrêté du 9 août 1942	1942/08/09 : classé MH		15e siècle ; 16e siècle	
PA00078578	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Avize	Champagne-Ardenne	51	Avize	51029	Menhir de Haute-Borne (également sur communes de Cramant et Oiry)		Propriété d'une personne privée		Menhir de Haute-Borne : classement par liste de 1889	1889 : classé MH		Néolithique	
PA00078577	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Avize	Champagne-Ardenne	51	Avize	51029	Fontaine en grès, dans l'école de viticulture		propriété de l'Etat	affecté au ministère chargé de l'agriculture	Fontaine en grès (cad. E 311) : classement par arrêté du 10 novembre 1961	1961/11/10 : classé MH	Bigot A. (maître de l'oeuvre)	4e quart 19e siècle	
PA00078576	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Avenay-Val-d'Or	Champagne-Ardenne	51	Avenay-Val-d'Or	51028	Eglise Saint-Trésain		propriété de la commune		Eglise : classement par avis de classement du 23 mai 1845	1845/05/23 : classé MH			
PA00078575	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Auve	Champagne-Ardenne	51	Auve	51027	Eglise		Propriété de la commune		Eglise : classement par arrêté du 7 février 1916	1916/02/07 : classé MH		12e siècle ; 15e siècle	
PA00078574	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Athis	Champagne-Ardenne	51	Athis	51018	Château		Propriété d'une personne privée		Façades et toitures (à l'exclusion de la partie de la tour sud-ouest récemment restaurée) ; escalier avec sa rampe en fer forgé ; cheminée du salon au 1er étage (cad. A 602) : inscription par arrêté du 17 février 1982	1982/02/17 : inscrit MH		17e siècle ; 18e siècle	
PA00078573	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Arzillières-Neuville	Champagne-Ardenne	51	Arzillières-Neuville	51017	Eglise		Propriété de la commune		Eglise : classement par arrêté du 25 octobre 1911	1911/10/25 : classé MH	ROCARD (maître de l'oeuvre)		
PA00078572	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Arcis-le-Ponsart	Champagne-Ardenne	51	Arcis-le-Ponsart	51014	Eglise		Propriété de la commune		Eglise : classement par arrêté du 18 novembre 1919	1919/11/18 : classé MH	PILLET (maître de l'oeuvre)	12e siècle ; 14e siècle	
PA00078571	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Arcis-le-Ponsart	Champagne-Ardenne	51	Arcis-le-Ponsart	51014	Château		Propriété d'une personne privée		Tourelle d'angle : classement par arrêté du 24 septembre 1931	1931/09/24 : classé MH			
PA00078570	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Aougny	Champagne-Ardenne	51	Aougny	51013	Eglise		Propriété de la commune		Eglise : classement par arrêté du 16 août 1922	1922/08/16 : classé MH		12e siècle ; 13e siècle ; 15e siècle ; 16e siècle	
PA00078569	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Anthenay	Champagne-Ardenne	51	Anthenay	51012	Eglise		Propriété de la commune		Eglise : classement par arrêté du 13 septembre 1920	1920/09/13 : classé MH		12e siècle ; 16e siècle	
PA00078568	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Anglure	Champagne-Ardenne	51	Anglure	51009	Eglise		Propriété de la commune		Boiseries du choeur : classement par arrêté du 16 septembre 1946 ; Eglise (sauf boiseries du choeur) : inscription par arrêté du 17 octobre 1946	1946/09/16 : classé MH ; 1946/10/17 : inscrit MH			
PA00078567	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Ambrières	Champagne-Ardenne	51	Ambrières	51008	Eglise		Propriété de la commune		Eglise : classement par arrêté du 15 janvier 1918	1918/01/15 : classé MH		12e siècle ; 13e siècle	
PA00078566	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Ambrières	Champagne-Ardenne	51	Ambrières	51008	Abbaye de Haute-Fontaine (vestiges)		Propriété d'une personne privée		Abbaye de Haute-Fontaine (vestiges) (cad. D 5) : inscription par arrêté du 10 mai 1979	1979/05/10 : inscrit MH		12e siècle ; 17e siècle	
PA00078565	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Ambonnay	Champagne-Ardenne	51	Ambonnay	51007	Eglise		Propriété de la commune		Eglise : classement par arrêté du 7 février 1922	1922/02/07 : classé MH		12e siècle ; 13e siècle	
PA00078564	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Ambonnay	Champagne-Ardenne	51	Ambonnay	51007	Croix de chemin en pierre	Ancien-Marché (place de l')	Propriété de la commune		Croix de chemin en pierre : classement par arrêté du 11 novembre 1905	1905/11/11 : classé MH		4e quart 16e siècle	
PA00078563	Recensement immeubles MH	Champagne-Ardenne ; Marne ; Allemant	Champagne-Ardenne	51	Allemant	51005	Eglise		Propriété de la commune		Eglise : classement par arrêté du 21 mai 1932	1932/05/21 : classé MH		13e siècle ; 15e siècle	
PA00078562	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Vrigne-aux-Bois	Champagne-Ardenne	08	Vrigne-aux-Bois	08491	Ancienne usine	Grande rue	propriété d'une personne privée ; propriété de la commune		Façades et toitures des bâtiments de la forge Jean-Nicolas Gendarme, y compris les deux halles à charbon, la halle au haut-fourneau, la forge et l'émonderie ; site de la forge de Jean-Nicolas Gendarme, y compris l'étang et le système hydraulique ; façades et toitures des anciens logements d'ouvriers de l'usine ; façades et toitures de l'ancien château du maître de forge (cad. AD 104, 139, 140, 284 ; ZC 44) : inscription par arrêté du 18 octobre 1991	1991/10/18 : inscrit MH	GENDARME Jean-Nicolas (maître de l'oeuvre)	1er quart 19e siècle	
PA00078561	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Givet	Champagne-Ardenne	08	Givet	08190	Fortifications		propriété d'une personne privée ; propriété de l'Etat ; propriété d'un établissement public ; propriété de la commune	affecté au ministère chargé de la défense	Ensemble des fortifications du camp retranché du Mont d'Haurs comprenant la porte de Rancennes ; porte de France, y compris la porte du chemin de fer ; fort de Rome ; fort de Condé ; tour Victoire (cad. AR 17 à 26, 30, 33, 34, 36, 38 à 43 ; AS 84, 89, 107, 108, 119 ; BC 486 ; AV 37, 93 ; AT 29, 40, 44, 45) : inscription par arrêté du 15 novembre 1991	1991/11/15 : inscrit MH	Vauban Sébastien Le Prestre de, marquis (ingénieur militaire)	16e siècle ; 4e quart 17e siècle ; 1ère moitié 18e siècle	
PA00078560	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Belval-Bois-des-Dames	Champagne-Ardenne	08	Belval-Bois-des-Dames	08059	Abbaye de Belval (ancienne)		Propriété d'une personne privée		Ancien logis conventuel du 18s ; porterie ; bassin avec les deux statues ; logis 17s ; ancienne chapelle de Belval (cad. AL 35, 54, 59, 60) : inscription par arrêté du 4 novembre 1991	1991/11/04 : inscrit MH		17e siècle ; 18e siècle	
PA00078559	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Sedan	Champagne-Ardenne	08	Sedan	08409	Ancienne manufacture de draps	Bayle (rue de) 9	propriété d'une personne privée		Façades ; toitures ; escalier de l'angle sud des bâtiments ; façades et toitures de l'étage couvrant la ruelle séparant l'immeuble de la maison du Gros Chien (cad. YC 78) : inscription par arrêté du 12 septembre 1991	1991/09/12 : inscrit MH		1ère moitié 19e siècle	
PA00078558	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Remilly-les-Pothées	Champagne-Ardenne	08	Remilly-les-Pothées	08358	Eglise		Propriété de la commune		Eglise (cad. AB 124) : inscription par arrêté du 12 septembre 1991	1991/09/12 : inscrit MH		16e siècle	
PA00078557	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Foisches	Champagne-Ardenne	08	Foisches	08175	Château-ferme de Foisches		Propriété d'une personne privée		Façades et toitures des deux ailes Est et Sud, y compris les trois tourelles d'angle (cad. C 15) : inscription par arrêté du 18 septembre 1991	1991/09/18 : inscrit MH		17e siècle	
PA00078556	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Auflance	Champagne-Ardenne	08	Auflance	08029	Château d'Auflance		Propriété d'une personne privée		Ensemble des vestiges du château, y compris la façade des communs ; emprise au sol de l'ancien château, y compris l'ancien emplacement des douves (cad. B 132 à 134) : inscription par arrêté du 18 septembre 1991	1991/09/18 : inscrit MH		1ère moitié 17e siècle	
PA00078555	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Haybes	Champagne-Ardenne	08	Haybes	08222	Haut-fourneau		propriété d'un établissement public		Haut-fourneau (cad. AN 48) : classement par arrêté du 14 mars 1991	1991/03/14 : classé MH		1er quart 17e siècle	
PA00078554	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Saint-Marceau	Champagne-Ardenne	08	Saint-Marceau	08388	Château de Saint-Marceau		Propriété d'une personne privée		Façades et toitures du château et des deux ailes de communs ; tourelle à l'angle de la propriété (cad. AB 310, 311, 313) : inscription par arrêté du 15 juin 1990	1990/06/15 : inscrit MH		17e siècle ; 18e siècle	
PA00078553	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Revin	Champagne-Ardenne	08	Revin	08363	La maison espagnole	Victor-Hugo (rue) 2-4 ; Edgar-Quinet (quai)	propriété de la commune		La maison (cad. AE 88) : inscription par arrêté du 25 avril 1990	1990/04/25 : inscrit MH		17e siècle	
PA00078552	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Givet	Champagne-Ardenne	08	Givet	08190	Manège militaire (ancien)	Récollets (rue des)	Propriété de la commune		Manège militaire (ancien) , y compris tous les éléments de sa charpente (cad. BC 472) : inscription par arrêté du 9 mars 1990	1990/03/09 : inscrit MH		2e quart 19e siècle	
PA00078551	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Cornay	Champagne-Ardenne	08	Cornay	08131	Château		Propriété d'une personne privée		Façades et toitures du bâtiment (cad. AL 62) : inscription par arrêté du 9 mars 1990	1990/03/09 : inscrit MH		16e siècle ; 1er quart 20e siècle	
PA00078550	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Chatel-Chéhéry	Champagne-Ardenne	08	Chatel-Chéhéry	08109	Ancienne abbaye de Chéhéry		propriété privée		L'ancien logis abbatial et l'aile en retour, en totalité ; les façades et les toitures des anciennes ailes de communs (cad. AB 34, 89) : inscription par arrêté du 25 avril 1990	1990/04/25 : inscrit MH		18e siècle ; 2e quart 19e siècle	
PA00078549	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Wasigny	Champagne-Ardenne	08	Wasigny	08499	Halle		Propriété de la commune		Halle : inscription par arrêté du 8 décembre 1927	1927/12/08 : inscrit MH			
PA00078548	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Wasigny	Champagne-Ardenne	08	Wasigny	08499	Ferme	Route d'I.C. n° 2 allant de Wasigny à La Neuville-les-Wasigny	Propriété d'une personne privée		Porche d'entrée et bâtiment principal : inscription par arrêté du 24 avril 1946	1946/04/24 : inscrit MH		17e siècle ; 18e siècle	
PA00078547	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Warcq	Champagne-Ardenne	08	Warcq	08497	Eglise		Propriété de la commune		Eglise : classement par arrêté du 26 décembre 1927	1927/12/26 : classé MH		14e siècle ; 15e siècle ; 17e siècle	
PA00078546	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Vrizy	Champagne-Ardenne	08	Vrizy	08493	Eglise		Propriété de la commune		Eglise : classement par arrêté du 2 février 1920	1920/02/02 : classé MH			
PA00078545	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Vouziers	Champagne-Ardenne	08	Vouziers	08490	Eglise Saint-Maurille		Propriété de la commune		Eglise : classement par arrêté du 4 septembre 1913	1913/09/04 : classé MH		15e siècle ; 16e siècle ; 18e siècle	
PA00078544	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Voncq	Champagne-Ardenne	08	Voncq	08489	Eglise		Propriété de la commune		Eglise : classement par arrêté du 2 février 1920	1920/02/02 : classé MH		13e siècle ; 15e siècle	
PA00078543	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Vireux-Molhain	Champagne-Ardenne	08	Vireux-Molhain	08486	Eglise de Mochain		Propriété de la commune		Eglise de Mochain, y compris sa crypte (cad. A 414) : classement par arrêté du 29 janvier 1964	1964/01/29 : classé MH		11e siècle ; 12e siècle ; 17e siècle ; 19e siècle	
PA00078541	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Villers-Semeuse	Champagne-Ardenne	08	Villers-Semeuse	08480	Eglise Saint-Pierre		Propriété de la commune		Eglise Saint-Pierre (cad. AH 196) : inscription par arrêté du 20 novembre 1972	1972/11/20 : inscrit MH		15e siècle ; 16e siècle ; 17e siècle	
PA00078540	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Viel-Saint-Remy	Champagne-Ardenne	08	Viel-Saint-Remy	08472	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 31 mai 1943	1943/05/31 : inscrit MH		12e siècle ; 15e siècle ; 18e siècle	
PA00078539	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Verpel	Champagne-Ardenne	08	Verpel	08470	Eglise		Propriété de la commune		Eglise : classement par liste de 1846	1846 : classé MH			
PA00078538	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Vendresse	Champagne-Ardenne	08	Vendresse	08469	Ancien haut-fourneau		propriété de l'Etat	affecté au ministère chargé de l'agriculture	Façades et toitures du bâtiment abritant le haut-fourneau et le haut-fourneau proprement dit ; façades et toitures de la halle à bois (cad. E 412) : inscription par arrêté du 23 mars 1972	1972/03/23 : inscrit MH		1er quart 19e siècle	
PA00078537	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Vendresse	Champagne-Ardenne	08	Vendresse	08469	Eglise Saint-Martin		Propriété de la commune		Eglise Saint-Martin (cad. E 228) : inscription par arrêté du 17 février 1972	1972/02/17 : inscrit MH		12e siècle ; 13e siècle ; 16e siècle ; 18e siècle	
PA00078536	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Tremblois-lès-Rocroi	Champagne-Ardenne	08	Tremblois-lès-Rocroi	08460	Bornes de Saint-Rémi (également sur commune de Chilly)	Au bord de la R.N. de Charleville à Hirson	propriété du département ; propriété de la commune		Bornes de Saint-Rémi : classement par arrêté du 17 mars 1931	1931/03/17 : classé MH			
PA00078535	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Tourteron	Champagne-Ardenne	08	Tourteron	08458	Eglise		Propriété de la commune		Eglise : classement par arrêté du 10 septembre 1913	1913/09/10 : classé MH		13e siècle ; 15e siècle	
PA00078534	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Tourteron	Champagne-Ardenne	08	Tourteron	08458	Trois croix de chemin		propriété de la commune		Les trois croix situées respectivement : près du monument aux Morts, à l'intersection du CD 30 et de la ruelle de l'église, au droit de la parcelle D 172 ; en bordure du chemin rural dit "ancien chemin de la Sabotterie", au droit de la parcelle A 261 (croix Saint-Roch) ; à l'intersection du CD 30 et du CVO 1 de Tourteron, au droit de la parcelle XA 17 (cad. non cadastré, domaine public) : inscription par arrêté du 22 juin 1972	1972/06/22 : inscrit MH		17e siècle	
PA00078533	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Tournes	Champagne-Ardenne	08	Tournes	08457	Eglise		Propriété de la commune		Eglise : classement par arrêté du 28 novembre 1923	1923/11/28 : classé MH		15e siècle ; 16e siècle	
PA00078532	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Thugny-Trugny	Champagne-Ardenne	08	Thugny-Trugny	08452	Eglise		Propriété de la commune		Eglise : classement par arrêté du 2 février 1920	1920/02/02 : classé MH		12e siècle ; 16e siècle	
PA00078531	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Thugny-Trugny	Champagne-Ardenne	08	Thugny-Trugny	08452	Château, parc et grange aux dîmes		Propriété d'une personne privée		Château, parc et grange aux dîmes : inscription par arrêté du 12 juin 1946	1946/06/12 : inscrit MH		16e siècle ; 17e siècle	
PA00078530	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Tannay	Champagne-Ardenne	08	Tannay	08439	Eglise		Propriété de la commune		Eglise (cad. Z 27) : classement par arrêté du 29 mars 1972	1972/03/29 : classé MH		15e siècle ; 16e siècle	
PA00078529	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Tagnon	Champagne-Ardenne	08	Tagnon	08435	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 19 juillet 1926	1926/07/19 : inscrit MH		13e siècle ; 15e siècle	
